Counter,,IncResNetV2 Best Param,IncResNetV2 Val Acc,IncResNetV2 Test Acc,IncResNetV2 F1 score,IncResNetV2 Precision,IncResNetV2 Recall,IncResNetV2 True Neg.,IncResNetV2 False Pos.,IncResNetV2 False Neg.,IncResNetV2 True Pos.,ResNet50 Val Acc,ResNet50 Test Acc,ResNet50 F1 score,ResNet50 Precision,ResNet50 Recall,ResNet50 True Neg.,ResNet50 False Pos.,ResNet50 False Neg.,ResNet50 True Pos.,ResNeXt50 Best Param,ResNeXt50 Val Acc,ResNeXt50 Test Acc,ResNeXt50 F1 score,ResNeXt50 Precision,ResNeXt50 Recall,ResNeXt50 True Neg.,ResNeXt50 False Pos.,ResNeXt50 False Neg.,ResNeXt50 True Pos.,EfficientNet B4 Best Param,EfficientNet B4 Val Acc,EfficientNet B4 Test Acc,EfficientNet B4 F1 score,EfficientNet B4 Precision,EfficientNet B4 Recall,EfficientNet B4 True Neg.,EfficientNet B4 False Pos.,EfficientNet B4 False Neg.,EfficientNet B4 True Pos.,ResNet50V2 Best Param,ResNet50V2 Val Acc,ResNet50V2 Test Acc,ResNet50V2 F1 score,ResNet50V2 Precision,ResNet50V2 Recall,ResNet50V2 True Neg.,ResNet50V2 False Pos.,ResNet50V2 False Neg.,ResNet50V2 True Pos.,ResNet101 Best Param,ResNet101 Val Acc,ResNet101 Test Acc,ResNet101 F1 score,ResNet101 Precision,ResNet101 Recall,ResNet101 True Neg.,ResNet101 False Pos.,ResNet101 False Neg.,ResNet101 True Pos.,ResNet152 Best Param,ResNet152 Val Acc,ResNet152 Test Acc,ResNet152 F1 score,ResNet152 Precision,ResNet152 Recall,ResNet152 True Neg.,ResNet152 False Pos.,ResNet152 False Neg.,ResNet152 True Pos.,ResNet152V2 Best Param,ResNet152V2 Val Acc,ResNet152V2 Test Acc,ResNet152V2 F1 score,ResNet152V2 Precision,ResNet152V2 Recall,ResNet152V2 True Neg.,ResNet152V2 False Pos.,ResNet152V2 False Neg.,ResNet152V2 True Pos.,EfficientNetB0 Best Param,EfficientNetB0 Val Acc,EfficientNetB0 Test Acc,EfficientNetB0 F1 score,EfficientNetB0 Precision,EfficientNetB0 Recall,EfficientNetB0 True Neg.,EfficientNetB0 False Pos.,EfficientNetB0 False Neg.,EfficientNetB0 True Pos.,EfficientNetB7 Best Param,EfficientNetB7 Val Acc,EfficientNetB7 Test Acc,EfficientNetB7 F1 score,EfficientNetB7 Precision,EfficientNetB7 Recall,EfficientNetB7 True Neg.,EfficientNetB7 False Pos.,EfficientNetB7 False Neg.,EfficientNetB7 True Pos.,ResNet50-ResNet101 Best Param,ResNet50-ResNet101 Val Acc,ResNet50-ResNet101 Test Acc,ResNet50-ResNet101 F1 score,ResNet50-ResNet101 Precision,ResNet50-ResNet101 Recall,ResNet50-ResNet101 True Neg.,ResNet50-ResNet101 False Pos.,ResNet50-ResNet101 False Neg.,ResNet50-ResNet101 True Pos.,Ensemble of 2 models: ResNet50 & InceptionResNetV2 Best Param,Ensemble of 2 models: ResNet50 & InceptionResNetV2 Val Acc,Ensemble of 2 models: ResNet50 & InceptionResNetV2 Test Acc,Ensemble of 2 models: ResNet50 & InceptionResNetV2 F1 score,Ensemble of 2 models: ResNet50 & InceptionResNetV2 Precision,Ensemble of 2 models: ResNet50 & InceptionResNetV2 Recall,Ensemble of 2 models: ResNet50 & InceptionResNetV2 True Neg.,Ensemble of 2 models: ResNet50 & InceptionResNetV2 False Pos.,Ensemble of 2 models: ResNet50 & InceptionResNetV2 False Neg.,Ensemble of 2 models: ResNet50 & InceptionResNetV2 True Pos.,3 model ensemble Best Param,3 model ensemble Val Acc,3 model ensemble Test Acc,3 model ensemble F1 score,3 model ensemble Precision,3 model ensemble Recall,3 model ensemble True Neg.,3 model ensemble False Pos.,3 model ensemble False Neg.,3 model ensemble True Pos.,5 model ensemble Best Param,5 model ensemble Val Acc,5 model ensemble Test Acc,5 model ensemble F1 score,5 model ensemble Precision,5 model ensemble Recall,5 model ensemble True Neg.,5 model ensemble False Pos.,5 model ensemble False Neg.,5 model ensemble True Pos.,7 model ensemble Best Param,7 model ensemble Val Acc,7 model ensemble Test Acc,7 model ensemble F1 score,7 model ensemble Precision,7 model ensemble Recall,7 model ensemble True Neg.,7 model ensemble False Pos.,7 model ensemble False Neg.,7 model ensemble True Pos.,9 model ensemble Best Param,9 model ensemble Val Acc,9 model ensemble Test Acc,9 model ensemble F1 score,9 model ensemble Precision,9 model ensemble Recall,9 model ensemble True Neg.,9 model ensemble False Pos.,9 model ensemble False Neg.,9 model ensemble True Pos.,11 model ensemble Best Param,11 model ensemble Val Acc,11 model ensemble Test Acc,11 model ensemble F1 score,11 model ensemble Precision,11 model ensemble Recall,11 model ensemble True Neg.,11 model ensemble False Pos.,11 model ensemble False Neg.,11 model ensemble True Pos.
4.5,,83.16,82.811,0.828,0.828,0.828,119.2,24.8,24.7,119.3,,84.115,84.341,0.843,0.843,0.843,120.5,23.5,21.6,122.4,,81.86,81.32,0.813,0.813,0.813,114,30,23.8,120.2,,83.333,80.59,0.806,0.807,0.806,109.7,34.3,21.6,122.4,,78.744,78.506,0.783,0.787,0.785,109.1,34.9,27,117,,83.505,83.611,0.835,0.835,0.835,117.3,26.7,20.5,123.5,,83.853,80.069,0.799,0.801,0.8,110,34,23.4,120.6,,79.914,78.472,0.784,0.787,0.784,108.7,35.3,26.7,117.3,,84.721,82.291,0.824,0.826,0.824,111.5,32.5,18.5,125.5,,81.645,78.645,0.784,0.792,0.785,106.1,37.9,23.6,120.4,,84.503,85.278,0.853,0.854,0.853,120.6,23.4,19,125,,83.853,84.862,0.848,0.85,0.848,120.3,23.7,19.9,124.1,,84.329,84.931,0.849,0.849,0.849,119.7,24.3,19.1,124.9,,85.022,85.035,0.851,0.851,0.851,119.2,24.8,18.3,125.7,,85.628,85.487,0.855,0.857,0.855,119.6,24.4,17.4,126.6,,85.281,84.653,0.847,0.848,0.848,118.2,25.8,18.4,125.6,,85.238,84.653,0.845,0.847,0.846,117.9,26.1,18.1,125.9
9.16666666666667,,4.8044,1.74836555555555,0.000173333333333,0.000173333333333,0.000173333333333,9.95555555555556,9.95555555555556,3.78888888888889,3.78888888888889,,4.87196111111111,0.949232222222222,9.00000000000001E-05,9.00000000000001E-05,9.00000000000001E-05,2.72222222222222,2.72222222222222,2.04444444444445,2.04444444444444,,6.31046666666667,1.30522222222222,0.000112222222222,0.000112222222222,0.000112222222222,8.44444444444444,8.44444444444444,2.4,2.4,,3.34437888888889,0.919622222222225,9.33333333333328E-05,6.77777777777772E-05,9.33333333333328E-05,5.78888888888889,5.78888888888889,1.37777777777778,1.37777777777778,,3.01880444444445,1.18904888888889,0.000112222222222,0.000156666666667,0.000161111111111,1.43333333333333,1.43333333333333,6.44444444444444,6.44444444444444,,3.47373888888889,1.79303222222222,0.000138888888889,0.000138888888889,0.000138888888889,11.3444444444444,11.3444444444444,1.38888888888889,1.38888888888889,,5.28322333333333,2.74305444444445,0.000276666666667,0.000232222222222,0.000266666666667,11.5555555555556,11.5555555555556,6.04444444444444,6.04444444444444,,4.47322666666668,1.87226222222222,0.000248888888889,0.000201111111111,0.000248888888889,12.6777777777778,12.6777777777778,4.23333333333333,4.23333333333333,,4.41596555555555,0.831498888888889,7.11111111111109E-05,9.33333333333331E-05,7.11111111111109E-05,3.61111111111111,3.61111111111111,2.27777777777778,2.27777777777778,,4.29771666666666,3.22620555555555,0.000382222222222,0.000262222222222,0.000427777777778,13.2111111111111,13.2111111111111,4.04444444444445,4.04444444444444,,4.74362333333333,1.24077333333333,9.00000000000002E-05,0.000115555555556,9.00000000000002E-05,4.71111111111111,4.71111111111111,3.55555555555556,3.55555555555556,,7.41329000000001,1.55892888888888,0.000106666666667,0.000177777777778,0.000106666666667,6.9,6.9,4.32222222222222,4.32222222222222,,4.64741000000001,1.13127666666667,0.000143333333333,0.000143333333333,0.000143333333333,5.78888888888889,5.78888888888889,2.98888888888889,2.98888888888889,,4.3351511111111,0.950316666666667,9.88888888888891E-05,9.88888888888891E-05,9.88888888888891E-05,3.06666666666667,3.06666666666667,3.34444444444444,3.34444444444444,,4.33199555555555,1.46977888888889,0.000161111111111,0.000156666666667,0.000161111111111,6.26666666666667,6.26666666666667,3.6,3.6,,3.41532111111111,1.22633444444444,9.00000000000001E-05,0.000151111111111,0.000151111111111,5.73333333333333,5.73333333333333,1.6,1.6,,4.10284,1.62924555555556,0.000161111111111,0.000201111111111,0.000226666666667,8.54444444444444,8.54444444444444,2.1,2.1
3.02765035409749,,2.19189415802862,1.32225774928928,0.013165611772088,0.013165611772088,0.013165611772088,3.15524255098646,3.15524255098646,1.94650684275419,1.94650684275419,,2.20725193648371,0.974285493180629,0.009486832980505,0.009486832980505,0.009486832980505,1.64991582276861,1.64991582276861,1.42984070596848,1.42984070596848,,2.51206422423207,1.14246322576362,0.010593499054714,0.010593499054714,0.010593499054714,2.90593262902712,2.90593262902712,1.54919333848297,1.54919333848297,,1.82876430654387,0.958969354162178,0.009660917830793,0.008232726023486,0.009660917830793,2.40601099101581,2.40601099101581,1.17378779077727,1.17378779077727,,1.73747070319026,1.09043518325891,0.010593499054714,0.012516655570346,0.01269295517644,1.19721899973786,1.19721899973786,2.53859103528797,2.53859103528797,,1.86379690119093,1.33904153117901,0.011785113019776,0.011785113019776,0.011785113019776,3.36815148775177,3.36815148775177,1.17851130197758,1.17851130197758,,2.29852633949088,1.65621690742621,0.016633299933166,0.01523883926755,0.016329931618555,3.39934634239519,3.39934634239519,2.45854518861144,2.45854518861144,,2.115000394011,1.36830633347296,0.015776212754932,0.014181364924122,0.015776212754932,3.56058671819376,3.56058671819376,2.05750658160146,2.05750658160146,,2.10141989034927,0.911865609006552,0.008432740427116,0.009660917830793,0.008432740427116,1.90029237516523,1.90029237516523,1.50923085635624,1.50923085635624,,2.07309350167007,1.79616412266684,0.019550504398154,0.016193277068655,0.020682789409985,3.63470921960906,3.63470921960906,2.01108041719978,2.01108041719978,,2.17798607280518,1.11390005536104,0.009486832980505,0.010749676997731,0.009486832980505,2.17050941281329,2.17050941281329,1.88561808316413,1.88561808316413,,2.72273575655075,1.24857073844011,0.010327955589887,0.013333333333333,0.010327955589887,2.62678510731274,2.62678510731274,2.07899548393502,2.07899548393502,,2.15578523976764,1.06361490524845,0.011972189997379,0.011972189997379,0.011972189997379,2.40601099101581,2.40601099101581,1.72884033065199,1.72884033065199,,2.08210256978639,0.974841867518351,0.009944289260118,0.009944289260118,0.009944289260118,1.75119007154183,1.75119007154183,1.82878222991269,1.82878222991269,,2.08134465083406,1.21234437718368,0.01269295517644,0.012516655570346,0.01269295517644,2.50333111406914,2.50333111406914,1.89736659610103,1.89736659610103,,1.84805874125016,1.10739985752412,0.009486832980505,0.012292725943057,0.012292725943057,2.39443799947573,2.39443799947573,1.26491106406735,1.26491106406735,,2.02554683974476,1.27641903603619,0.01269295517644,0.014181364924122,0.015055453054182,2.92308816911917,2.92308816911917,1.44913767461894,1.44913767461894
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 model,IncResV2 + ResNet50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 model,Resnet50resnet101 + resnet50 + resnet101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 model,Resnet50resnet101 + resnet50 + resnet101 + incResV2 + effNetB0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7 model,Resnet50resnet101 + resnet50 + resnet101 + incResV2 + effNetB0 + resneXt + effNetB4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 model,Resnet50resnet101 + resnet50 + resnet101 + incResV2 + effNetB0 + resneXt + effNetB4 + resNet152 + effNetB7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11 model,Resnet50resnet101 + resnet50 + resnet101 + incResV2 + effNetB0 + resneXt + effNetB4 + resNet152 + effNetB7 + resNet50V2 + resNet152V2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
