Counter,ResNet50 Best Param,ResNet50 Val Acc,ResNet50 Test Acc,ResNet50 F1 score,ResNet50 Precision,ResNet50 Recall,ResNet50 True Neg.,ResNet50 False Pos.,ResNet50 False Neg.,ResNet50 True Pos.,ResNeXt50 Best Param,ResNeXt50 Val Acc,ResNeXt50 Test Acc,ResNeXt50 F1 score,ResNeXt50 Precision,ResNeXt50 Recall,ResNeXt50 True Neg.,ResNeXt50 False Pos.,ResNeXt50 False Neg.,ResNeXt50 True Pos.,ResNet101 Best Param,ResNet101 Val Acc,ResNet101 Test Acc,ResNet101 F1 score,ResNet101 Precision,ResNet101 Recall,ResNet101 True Neg.,ResNet101 False Pos.,ResNet101 False Neg.,ResNet101 True Pos.,FeatSpaceEnsNet 4: ResNet50-ResNet101-ResNeXt50 Best Param,FeatSpaceEnsNet 4: ResNet50-ResNet101-ResNeXt50 Val Acc,FeatSpaceEnsNet 4: ResNet50-ResNet101-ResNeXt50 Test Acc,FeatSpaceEnsNet 4: ResNet50-ResNet101-ResNeXt50 F1 score,FeatSpaceEnsNet 4: ResNet50-ResNet101-ResNeXt50 Precision,FeatSpaceEnsNet 4: ResNet50-ResNet101-ResNeXt50 Recall,FeatSpaceEnsNet 4: ResNet50-ResNet101-ResNeXt50 True Neg.,FeatSpaceEnsNet 4: ResNet50-ResNet101-ResNeXt50 False Pos.,FeatSpaceEnsNet 4: ResNet50-ResNet101-ResNeXt50 False Neg.,FeatSpaceEnsNet 4: ResNet50-ResNet101-ResNeXt50 True Pos.
0,{'logisticregression__C': 0.0001},82.25,82.64,0.83,0.83,0.83,119.0,25.0,25.0,119.0,{'logisticregression__C': 0.0001},82.68,81.94,0.82,0.82,0.82,117.0,27.0,25.0,119.0,{'logisticregression__C': 0.0001},86.58,83.33,0.83,0.83,0.83,120.0,24.0,24.0,120.0,{'logisticregression__C': 0.001},85.71,83.68,0.84,0.84,0.84,122.0,22.0,25.0,119.0
1,{'logisticregression__C': 0.0005},81.82,81.6,0.82,0.82,0.82,117.0,27.0,26.0,118.0,{'logisticregression__C': 0.0001},80.95,81.25,0.81,0.81,0.81,114.0,30.0,24.0,120.0,{'logisticregression__C': 0.0005},83.55,84.38,0.84,0.84,0.84,123.0,21.0,24.0,120.0,{'logisticregression__C': 0.0005},84.42,85.07,0.85,0.85,0.85,121.0,23.0,20.0,124.0
2,{'logisticregression__C': 0.0001},84.42,82.99,0.83,0.83,0.83,119.0,25.0,24.0,120.0,{'logisticregression__C': 0.0001},82.68,81.6,0.82,0.82,0.82,118.0,26.0,27.0,117.0,{'logisticregression__C': 0.001},84.42,84.72,0.85,0.85,0.85,127.0,17.0,27.0,117.0,{'logisticregression__C': 0.001},84.85,84.38,0.84,0.84,0.84,121.0,23.0,22.0,122.0
3,{'logisticregression__C': 0.001},82.68,81.25,0.81,0.81,0.81,114.0,30.0,24.0,120.0,{'logisticregression__C': 0.0001},82.25,80.56,0.81,0.81,0.81,113.0,31.0,25.0,119.0,{'logisticregression__C': 0.0005},83.55,83.33,0.83,0.83,0.83,121.0,23.0,25.0,119.0,{'logisticregression__C': 0.001},85.28,84.03,0.84,0.84,0.84,119.0,25.0,21.0,123.0
4,{'logisticregression__C': 0.0001},84.85,84.72,0.85,0.85,0.85,121.0,23.0,21.0,123.0,{'logisticregression__C': 0.001},83.55,81.25,0.81,0.81,0.81,114.0,30.0,24.0,120.0,{'logisticregression__C': 0.0005},85.28,84.03,0.84,0.84,0.84,121.0,23.0,23.0,121.0,{'logisticregression__C': 0.001},86.58,85.76,0.86,0.86,0.86,122.0,22.0,19.0,125.0
5,{'logisticregression__C': 0.0005},87.45,82.64,0.83,0.83,0.83,118.0,26.0,24.0,120.0,{'logisticregression__C': 0.001},81.82,80.9,0.81,0.81,0.81,114.0,30.0,25.0,119.0,{'logisticregression__C': 0.0005},86.58,82.64,0.83,0.83,0.83,121.0,23.0,27.0,117.0,{'logisticregression__C': 0.0001},85.28,84.38,0.84,0.84,0.84,119.0,25.0,20.0,124.0
6,{'logisticregression__C': 0.001},85.71,82.99,0.83,0.83,0.83,119.0,25.0,24.0,120.0,{'logisticregression__C': 0.0001},81.82,81.94,0.82,0.82,0.82,116.0,28.0,24.0,120.0,{'logisticregression__C': 0.0001},83.12,82.29,0.82,0.82,0.82,120.0,24.0,27.0,117.0,{'logisticregression__C': 0.0001},84.85,85.42,0.85,0.86,0.85,119.0,25.0,17.0,127.0
7,{'logisticregression__C': 0.001},80.95,84.03,0.84,0.84,0.84,119.0,25.0,21.0,123.0,{'logisticregression__C': 0.0001},83.98,79.51,0.79,0.8,0.8,109.0,35.0,24.0,120.0,{'logisticregression__C': 0.0005},83.55,81.6,0.82,0.82,0.82,118.0,26.0,27.0,117.0,{'logisticregression__C': 0.001},81.39,83.33,0.83,0.83,0.83,119.0,25.0,23.0,121.0
8,{'logisticregression__C': 0.001},78.79,84.03,0.84,0.84,0.84,119.0,25.0,21.0,123.0,{'logisticregression__C': 0.0005},78.35,83.33,0.83,0.83,0.83,117.0,27.0,21.0,123.0,{'logisticregression__C': 0.0005},80.09,82.99,0.83,0.83,0.83,120.0,24.0,25.0,119.0,{'logisticregression__C': 0.001},80.52,85.07,0.85,0.85,0.85,120.0,24.0,19.0,125.0
9,{'logisticregression__C': 0.0005},83.12,84.72,0.85,0.85,0.85,122.0,22.0,22.0,122.0,{'logisticregression__C': 0.0001},83.12,83.33,0.83,0.83,0.83,118.0,26.0,22.0,122.0,{'logisticregression__C': 0.0001},83.12,82.64,0.83,0.83,0.83,122.0,22.0,28.0,116.0,{'logisticregression__C': 0.0001},86.58,85.42,0.85,0.85,0.85,123.0,21.0,21.0,123.0
