Counter,LBP SVM Best Param,LBP SVM Val Acc,LBP SVM Test Acc,LBP SVM F1 score,LBP SVM Precision,LBP SVM Recall,LBP SVM True Neg.,LBP SVM False Pos.,LBP SVM False Neg.,LBP SVM True Pos.,LBP SVM RBF Best Param,LBP SVM RBF Val Acc,LBP SVM RBF Test Acc,LBP SVM RBF F1 score,LBP SVM RBF Precision,LBP SVM RBF Recall,LBP SVM RBF True Neg.,LBP SVM RBF False Pos.,LBP SVM RBF False Neg.,LBP SVM RBF True Pos.,LBP RF Best Param,LBP RF Val Acc,LBP RF Test Acc,LBP RF F1 score,LBP RF Precision,LBP RF Recall,LBP RF True Neg.,LBP RF False Pos.,LBP RF False Neg.,LBP RF True Pos.
0,{'linearsvc__C': 10.0},63.2,65.62,0.66,0.66,0.66,98.0,46.0,53.0,91.0,"{'svc__C': 10.0, 'svc__gamma': 0.01, 'svc__kernel': 'rbf'}",64.5,70.83,0.71,0.71,0.71,103.0,41.0,43.0,101.0,{'randomforestclassifier__n_estimators': 250},70.13,71.88,0.72,0.72,0.72,108.0,36.0,45.0,99.0
1,{'linearsvc__C': 1.0},68.83,67.71,0.68,0.68,0.68,99.0,45.0,48.0,96.0,"{'svc__C': 100.0, 'svc__gamma': 0.01, 'svc__kernel': 'rbf'}",71.0,71.88,0.72,0.72,0.72,106.0,38.0,43.0,101.0,{'randomforestclassifier__n_estimators': 150},69.26,72.57,0.73,0.73,0.73,110.0,34.0,45.0,99.0
2,{'linearsvc__C': 10.0},69.7,66.67,0.67,0.67,0.67,99.0,45.0,51.0,93.0,"{'svc__C': 10.0, 'svc__gamma': 0.01, 'svc__kernel': 'rbf'}",69.26,68.4,0.68,0.69,0.68,104.0,40.0,51.0,93.0,{'randomforestclassifier__n_estimators': 150},71.43,68.4,0.68,0.69,0.68,107.0,37.0,54.0,90.0
3,{'linearsvc__C': 10.0},70.13,68.06,0.68,0.68,0.68,103.0,41.0,51.0,93.0,"{'svc__C': 100.0, 'svc__gamma': 0.01, 'svc__kernel': 'rbf'}",69.26,72.92,0.73,0.73,0.73,113.0,31.0,47.0,97.0,{'randomforestclassifier__n_estimators': 100},70.13,68.06,0.68,0.68,0.68,105.0,39.0,53.0,91.0
4,{'linearsvc__C': 10.0},73.59,68.75,0.69,0.69,0.69,102.0,42.0,48.0,96.0,"{'svc__C': 100.0, 'svc__gamma': 0.01, 'svc__kernel': 'rbf'}",71.43,71.18,0.71,0.71,0.71,109.0,35.0,48.0,96.0,{'randomforestclassifier__n_estimators': 100},73.16,70.83,0.71,0.71,0.71,109.0,35.0,49.0,95.0
2.0,,69.09,67.362,0.676,0.676,0.676,100.2,43.8,50.2,93.8,,69.09,71.042,0.71,0.712,0.71,107.0,37.0,46.4,97.6,,70.822,70.34799999999998,0.704,0.706,0.704,107.8,36.2,49.2,94.8
2.5,,14.115849999999996,1.5120699999999951,0.00012999999999999945,0.00012999999999999945,0.00012999999999999945,4.699999999999999,4.699999999999999,4.699999999999999,4.699999999999999,,7.562400000000007,2.818319999999993,0.00034999999999999897,0.0002200000000000004,0.00034999999999999897,16.5,16.5,11.799999999999999,11.799999999999999,,2.3083699999999974,4.13656999999998,0.0005299999999999982,0.0004299999999999993,0.0005299999999999982,3.6999999999999997,3.6999999999999997,18.200000000000003,18.200000000000003
1.5811388300841898,,3.757106599499141,1.2296625553378435,0.011401754250991356,0.011401754250991356,0.011401754250991356,2.16794833886788,2.16794833886788,2.16794833886788,2.16794833886788,,2.749981818121714,1.6787852751319905,0.01870828693386968,0.014832396974191338,0.01870828693386968,4.06201920231798,4.06201920231798,3.4351128074635335,3.4351128074635335,,1.5193320900974867,2.0338559437678914,0.023021728866442638,0.020736441353327705,0.023021728866442638,1.9235384061671343,1.9235384061671343,4.266145801540309,4.266145801540309
