Counter,LBP SVM Best Param,LBP SVM Val Acc,LBP SVM Test Acc,LBP SVM F1 score,LBP SVM Precision,LBP SVM Recall,LBP SVM True Neg.,LBP SVM False Pos.,LBP SVM False Neg.,LBP SVM True Pos.,LBP SVM RBF Best Param,LBP SVM RBF Val Acc,LBP SVM RBF Test Acc,LBP SVM RBF F1 score,LBP SVM RBF Precision,LBP SVM RBF Recall,LBP SVM RBF True Neg.,LBP SVM RBF False Pos.,LBP SVM RBF False Neg.,LBP SVM RBF True Pos.,LBP RF Best Param,LBP RF Val Acc,LBP RF Test Acc,LBP RF F1 score,LBP RF Precision,LBP RF Recall,LBP RF True Neg.,LBP RF False Pos.,LBP RF False Neg.,LBP RF True Pos.
0,{'linearsvc__C': 10.0},70.13,68.75,0.69,0.69,0.69,95.0,49.0,41.0,103.0,"{'svc__C': 1.0, 'svc__gamma': 0.1, 'svc__kernel': 'rbf'}",70.56,69.1,0.69,0.69,0.69,97.0,47.0,42.0,102.0,{'randomforestclassifier__n_estimators': 250},73.16,72.92,0.73,0.73,0.73,106.0,38.0,40.0,104.0
1,{'linearsvc__C': 0.1},69.7,68.4,0.68,0.68,0.68,95.0,49.0,42.0,102.0,"{'svc__C': 1.0, 'svc__gamma': 0.1, 'svc__kernel': 'rbf'}",68.4,67.36,0.67,0.68,0.67,88.0,56.0,38.0,106.0,{'randomforestclassifier__n_estimators': 200},67.53,67.36,0.67,0.67,0.67,98.0,46.0,48.0,96.0
0.5,,69.91499999999999,68.575,0.685,0.685,0.685,95.0,49.0,41.5,102.5,,69.48,68.22999999999999,0.6799999999999999,0.685,0.6799999999999999,92.5,51.5,40.0,104.0,,70.345,70.14,0.7,0.7,0.7,102.0,42.0,44.0,100.0
0.5,,0.09244999999999681,0.06124999999999801,4.999999999999898e-05,4.999999999999898e-05,4.999999999999898e-05,0.0,0.0,0.5,0.5,,2.3327999999999927,1.513799999999991,0.00019999999999999814,4.999999999999898e-05,0.00019999999999999814,40.5,40.5,8.0,8.0,,15.848449999999975,15.456800000000012,0.0017999999999999965,0.0017999999999999965,0.0017999999999999965,32.0,32.0,32.0,32.0
0.7071067811865476,,0.3040559159102102,0.24748737341528762,0.007071067811865403,0.007071067811865403,0.007071067811865403,0.0,0.0,0.7071067811865476,0.7071067811865476,,1.5273506473629404,1.230365799264589,0.014142135623730885,0.007071067811865403,0.014142135623730885,6.363961030678928,6.363961030678928,2.8284271247461903,2.8284271247461903,,3.9810111780802595,3.9315137033972056,0.04242640687119281,0.04242640687119281,0.04242640687119281,5.656854249492381,5.656854249492381,5.656854249492381,5.656854249492381
