Counter,ResNet50 Best Param,ResNet50 Val Acc,ResNet50 Test Acc,ResNet50 F1 score,ResNet50 Precision,ResNet50 Recall,ResNet50 True Neg.,ResNet50 False Pos.,ResNet50 False Neg.,ResNet50 True Pos.,ResNeXt50 Best Param,ResNeXt50 Val Acc,ResNeXt50 Test Acc,ResNeXt50 F1 score,ResNeXt50 Precision,ResNeXt50 Recall,ResNeXt50 True Neg.,ResNeXt50 False Pos.,ResNeXt50 False Neg.,ResNeXt50 True Pos.,EfficientNetB4 Best Param,EfficientNetB4 Val Acc,EfficientNetB4 Test Acc,EfficientNetB4 F1 score,EfficientNetB4 Precision,EfficientNetB4 Recall,EfficientNetB4 True Neg.,EfficientNetB4 False Pos.,EfficientNetB4 False Neg.,EfficientNetB4 True Pos.,FeatSpaceEnsNet 2: ResNet50-ResNeXt50-EffNetB4 Best Param,FeatSpaceEnsNet 2: ResNet50-ResNeXt50-EffNetB4 Val Acc,FeatSpaceEnsNet 2: ResNet50-ResNeXt50-EffNetB4 Test Acc,FeatSpaceEnsNet 2: ResNet50-ResNeXt50-EffNetB4 F1 score,FeatSpaceEnsNet 2: ResNet50-ResNeXt50-EffNetB4 Precision,FeatSpaceEnsNet 2: ResNet50-ResNeXt50-EffNetB4 Recall,FeatSpaceEnsNet 2: ResNet50-ResNeXt50-EffNetB4 True Neg.,FeatSpaceEnsNet 2: ResNet50-ResNeXt50-EffNetB4 False Pos.,FeatSpaceEnsNet 2: ResNet50-ResNeXt50-EffNetB4 False Neg.,FeatSpaceEnsNet 2: ResNet50-ResNeXt50-EffNetB4 True Pos.,AvgEnsNet 7: ResNet50-ResNeXt50-EffNetB4 Best Param,AvgEnsNet 7: ResNet50-ResNeXt50-EffNetB4 Val Acc,AvgEnsNet 7: ResNet50-ResNeXt50-EffNetB4 Test Acc,AvgEnsNet 7: ResNet50-ResNeXt50-EffNetB4 F1 score,AvgEnsNet 7: ResNet50-ResNeXt50-EffNetB4 Precision,AvgEnsNet 7: ResNet50-ResNeXt50-EffNetB4 Recall,AvgEnsNet 7: ResNet50-ResNeXt50-EffNetB4 True Neg.,AvgEnsNet 7: ResNet50-ResNeXt50-EffNetB4 False Pos.,AvgEnsNet 7: ResNet50-ResNeXt50-EffNetB4 False Neg.,AvgEnsNet 7: ResNet50-ResNeXt50-EffNetB4 True Pos.
0,{'logisticregression__C': 0.001},82.68,85.42,0.85,0.85,0.85,123.0,21.0,21.0,123.0,{'logisticregression__C': 0.001},77.92,82.29,0.82,0.82,0.82,116.0,28.0,23.0,121.0,{'logisticregression__C': 0.0001},81.82,81.94,0.82,0.82,0.82,113.0,31.0,21.0,123.0,Ensemble,83.98,86.81,0.87,0.87,0.87,124.0,20.0,18.0,126.0,{'logisticregression__C': 0.001},83.98,85.42,0.85,0.85,0.85,122.0,22.0,20.0,124.0
1,{'logisticregression__C': 0.001},87.88,84.03,0.84,0.84,0.84,119.0,25.0,21.0,123.0,{'logisticregression__C': 0.001},83.12,78.82,0.79,0.79,0.79,109.0,35.0,26.0,118.0,{'logisticregression__C': 0.0005},84.85,79.86,0.8,0.8,0.8,110.0,34.0,24.0,120.0,Ensemble,87.01,84.72,0.85,0.85,0.85,117.0,27.0,17.0,127.0,{'logisticregression__C': 0.0001},87.88,84.38,0.84,0.85,0.84,115.0,29.0,16.0,128.0
0,{'logisticregression__C': 0.0001},82.25,82.64,0.83,0.83,0.83,119.0,25.0,25.0,119.0,{'logisticregression__C': 0.001},83.98,81.94,0.82,0.82,0.82,118.0,26.0,26.0,118.0,{'logisticregression__C': 0.001},82.68,81.94,0.82,0.82,0.82,125.0,19.0,33.0,111.0,Ensemble,84.85,85.42,0.85,0.85,0.85,123.0,21.0,21.0,123.0,{'logisticregression__C': 0.0005},84.42,85.76,0.86,0.86,0.86,125.0,19.0,22.0,122.0
1,{'logisticregression__C': 0.0005},81.82,81.6,0.82,0.82,0.82,117.0,27.0,26.0,118.0,{'logisticregression__C': 0.001},81.39,81.6,0.82,0.82,0.82,115.0,29.0,24.0,120.0,{'logisticregression__C': 0.0005},84.42,82.64,0.83,0.83,0.83,122.0,22.0,28.0,116.0,Ensemble,85.28,84.03,0.84,0.84,0.84,120.0,24.0,22.0,122.0,{'logisticregression__C': 0.0001},83.55,85.76,0.86,0.86,0.86,123.0,21.0,20.0,124.0
0.5,,83.6575,83.42249999999999,0.835,0.835,0.835,119.5,24.5,23.25,120.75,,81.6025,81.1625,0.8124999999999999,0.8124999999999999,0.8124999999999999,114.5,29.5,24.75,119.25,,83.4425,81.595,0.8175,0.8175,0.8175,117.5,26.5,26.5,117.5,,85.28,85.245,0.8524999999999999,0.8524999999999999,0.8524999999999999,121.0,23.0,19.5,124.5,,84.95750000000001,85.33,0.8524999999999999,0.855,0.8524999999999999,121.25,22.75,19.5,124.5
0.3333333333333333,,8.047491666666657,2.7642916666666757,0.00016666666666666696,0.00016666666666666696,0.00016666666666666696,6.333333333333333,6.333333333333333,6.916666666666667,6.916666666666667,,7.1870916666666735,2.518158333333346,0.00022499999999999875,0.00022499999999999875,0.00022499999999999875,15.0,15.0,2.25,2.25,,2.050158333333333,1.4467666666666668,0.00015833333333333232,0.00015833333333333232,0.00015833333333333232,51.0,51.0,27.0,27.0,,1.622600000000004,1.4105666666666687,0.00015833333333333362,0.00015833333333333362,0.00015833333333333362,10.0,10.0,5.666666666666667,5.666666666666667,,3.9221583333333236,0.4268000000000059,9.166666666666683e-05,3.3333333333333396e-05,9.166666666666683e-05,18.916666666666668,18.916666666666668,6.333333333333333,6.333333333333333
0.5773502691896257,,2.8368101217153496,1.6626159107462781,0.012909944487358068,0.012909944487358068,0.012909944487358068,2.516611478423583,2.516611478423583,2.6299556396765835,2.6299556396765835,,2.6808751680499174,1.5868706101422845,0.014999999999999958,0.014999999999999958,0.014999999999999958,3.872983346207417,3.872983346207417,1.5,1.5,,1.4318373976584537,1.2028161400092148,0.012583057392117876,0.012583057392117876,0.012583057392117876,7.14142842854285,7.14142842854285,5.196152422706632,5.196152422706632,,1.2738131731144893,1.1876727944457888,0.012583057392117928,0.012583057392117928,0.012583057392117928,3.1622776601683795,3.1622776601683795,2.3804761428476167,2.3804761428476167,,1.9804439737930795,0.6532993188424475,0.00957427107756339,0.005773502691896263,0.00957427107756339,4.349329450233296,4.349329450233296,2.516611478423583,2.516611478423583
