Counter,LBP SVM Best Param,LBP SVM Val Acc,LBP SVM Test Acc,LBP SVM F1 score,LBP SVM Precision,LBP SVM Recall,LBP SVM True Neg.,LBP SVM False Pos.,LBP SVM False Neg.,LBP SVM True Pos.,LBP SVM RBF Best Param,LBP SVM RBF Val Acc,LBP SVM RBF Test Acc,LBP SVM RBF F1 score,LBP SVM RBF Precision,LBP SVM RBF Recall,LBP SVM RBF True Neg.,LBP SVM RBF False Pos.,LBP SVM RBF False Neg.,LBP SVM RBF True Pos.,LBP RF Best Param,LBP RF Val Acc,LBP RF Test Acc,LBP RF F1 score,LBP RF Precision,LBP RF Recall,LBP RF True Neg.,LBP RF False Pos.,LBP RF False Neg.,LBP RF True Pos.
0,{'linearsvc__C': 0.001},62.77,68.4,0.68,0.69,0.68,104.0,40.0,51.0,93.0,"{'svc__C': 100.0, 'svc__gamma': 0.01, 'svc__kernel': 'rbf'}",68.4,72.92,0.73,0.73,0.73,109.0,35.0,43.0,101.0,{'randomforestclassifier__n_estimators': 100},67.1,69.79,0.7,0.7,0.7,106.0,38.0,49.0,95.0
1,{'linearsvc__C': 1.0},69.26,67.36,0.67,0.67,0.67,98.0,46.0,48.0,96.0,"{'svc__C': 1.0, 'svc__gamma': 0.1, 'svc__kernel': 'rbf'}",71.43,71.53,0.72,0.72,0.72,100.0,44.0,38.0,106.0,{'randomforestclassifier__n_estimators': 100},71.86,73.26,0.73,0.73,0.73,109.0,35.0,42.0,102.0
0.5,,66.015,67.88,0.675,0.6799999999999999,0.675,101.0,43.0,49.5,94.5,,69.915,72.225,0.725,0.725,0.725,104.5,39.5,40.5,103.5,,69.47999999999999,71.525,0.715,0.715,0.715,107.5,36.5,45.5,98.5
0.5,,21.060050000000015,0.5408000000000065,5.000000000000009e-05,0.00019999999999999814,5.000000000000009e-05,18.0,18.0,4.5,4.5,,4.590450000000003,0.9660500000000007,5.000000000000009e-05,5.000000000000009e-05,5.000000000000009e-05,40.5,40.5,12.5,12.5,,11.328800000000024,6.020449999999996,0.0004500000000000008,0.0004500000000000008,0.0004500000000000008,4.5,4.5,24.5,24.5
0.7071067811865476,,4.589123009900695,0.7353910524340138,0.007071067811865481,0.014142135623730885,0.007071067811865481,4.242640687119285,4.242640687119285,2.1213203435596424,2.1213203435596424,,2.1425335469952396,0.9828784258493014,0.007071067811865481,0.007071067811865481,0.007071067811865481,6.363961030678928,6.363961030678928,3.5355339059327378,3.5355339059327378,,3.3658282784479696,2.453660530717319,0.021213203435596444,0.021213203435596444,0.021213203435596444,2.1213203435596424,2.1213203435596424,4.949747468305833,4.949747468305833
